position-X	position-Y
0.000000000 	 0.000000000 
0.000000000 	 -0.000100049 
0.000000000 	 -0.000200196 
0.000000000 	 -0.000300440 
0.000000000 	 -0.000400781 
0.000000000 	 -0.000501220 
0.000000000 	 -0.000601754 
0.000000000 	 -0.000702385 
0.000000000 	 -0.000803112 
0.000000000 	 -0.000903934 
0.000000000 	 -0.001004851 
0.000000000 	 -0.001105863 
0.000000000 	 -0.001206970 
0.000000000 	 -0.001308171 
0.000000000 	 -0.001409466 
0.000000000 	 -0.001510854 
0.000000000 	 -0.001612336 
0.000000000 	 -0.001713911 
0.000000000 	 -0.001815579 
0.000000000 	 -0.001917339 
0.000000000 	 -0.002019192 
0.000000000 	 -0.002121136 
0.000000000 	 -0.002223172 
0.000000000 	 -0.002325299 
0.000000000 	 -0.002427518 
0.000000000 	 -0.002529826 
0.000000000 	 -0.002632225 
0.000000000 	 -0.002734712 
0.000000000 	 -0.002837288 
0.000000000 	 -0.002939952 
0.000000000 	 -0.003042704 
0.000000000 	 -0.003145544 
0.000000000 	 -0.003248471 
0.000000000 	 -0.003351486 
0.000000000 	 -0.003454588 
0.000000000 	 -0.003557776 
0.000000000 	 -0.003661052 
0.000000000 	 -0.003764413 
0.000000000 	 -0.003867861 
0.000000000 	 -0.003971394 
0.000000000 	 -0.004075013 
0.000000000 	 -0.004178717 
0.000000000 	 -0.004282506 
0.000000000 	 -0.004386380 
0.000000000 	 -0.004490338 
0.000000000 	 -0.004594381 
0.000000000 	 -0.004698508 
0.000000000 	 -0.004802718 
0.000000000 	 -0.004907012 
0.000000000 	 -0.005011389 
0.000000000 	 -0.005115849 
0.000000000 	 -0.005220392 
0.000000000 	 -0.005325018 
0.000000000 	 -0.005429725 
0.000000000 	 -0.005534515 
0.000000000 	 -0.005639386 
0.000000000 	 -0.005744339 
0.000000000 	 -0.005849373 
0.000000000 	 -0.005954487 
0.000000000 	 -0.006059683 
0.000000000 	 -0.006164959 
0.000000000 	 -0.006270315 
0.000000000 	 -0.006375751 
0.000000000 	 -0.006481267 
0.000000000 	 -0.006586862 
0.000000000 	 -0.006692537 
0.000000000 	 -0.006798290 
0.000000000 	 -0.006904122 
0.000000000 	 -0.007010032 
0.000000000 	 -0.007116021 
0.000000000 	 -0.007222087 
0.000000000 	 -0.007328231 
0.000000000 	 -0.007434453 
0.000000000 	 -0.007540752 
0.000000000 	 -0.007647127 
0.000000000 	 -0.007753579 
